service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
3401_merged_1912814,20240901,20241228,0,0,0,0,0,0,0
8501,20240901,20241228,0,0,0,0,0,0,0
8503,20240901,20241228,0,0,0,0,0,0,0
8502,20240901,20241228,0,0,0,0,0,0,0
14705,20240901,20241228,0,0,0,0,0,0,0
1_merged_1912824,20240901,20241228,1,1,1,1,1,0,0
21901,20240901,20241228,0,0,0,0,0,0,0
21903,20240901,20241228,0,0,0,0,0,0,0
707,20240901,20241228,0,0,0,0,0,0,0
1201,20240901,20241228,0,0,0,0,0,0,0
1203,20240901,20241228,0,0,0,0,0,0,0
1202,20240901,20241228,0,0,0,0,0,0,0
3_merged_1912789,20240623,20240831,0,0,0,0,0,0,1
3402_merged_1912816,20240901,20241228,0,0,0,0,0,0,0
14601_merged_1912821,20240901,20241228,0,0,0,0,0,0,0
7_merged_1912791,20240623,20240831,0,0,0,0,0,0,0
2107,20240901,20241228,0,0,0,0,0,0,0
3401_merged_1912795,20240623,20240831,0,0,0,0,0,0,0
14607,20240901,20241228,0,0,0,0,0,0,0
1403_merged_1912792,20240623,20240831,0,0,0,0,0,0,0
14601_merged_1912802,20240623,20240831,0,0,0,0,0,0,0
14703_merged_1912817,20240901,20241228,0,0,0,0,0,0,0
3_merged_1912808,20240901,20241228,0,0,0,0,0,0,1
2201,20240623,20240831,0,0,0,0,0,0,0
2202,20240623,20240831,0,0,0,0,0,0,0
2203,20240623,20240831,0,0,0,0,0,0,0
1402_merged_1912793,20240623,20240831,0,0,0,0,0,0,0
1403_merged_1912811,20240901,20241228,0,0,0,0,0,0,0
2303,20240623,20240831,0,0,0,0,0,0,0
1502,20240623,20240831,0,0,0,0,0,0,0
1503,20240623,20240831,0,0,0,0,0,0,0
14701_merged_1912800,20240623,20240831,0,0,0,0,0,0,0
1501,20240623,20240831,0,0,0,0,0,0,0
5,20240901,20241228,0,0,0,0,0,0,0
4,20240901,20241228,0,0,0,0,0,0,0
3402_merged_1912797,20240623,20240831,0,0,0,0,0,0,0
14707_merged_1912803,20240623,20240831,0,0,0,0,0,0,0
1_merged_1912805,20240623,20240831,1,1,1,1,1,0,0
14702_merged_1912799,20240623,20240831,0,0,0,0,0,0,0
14707_merged_1912822,20240901,20241228,0,0,0,0,0,0,0
14703_merged_1912798,20240623,20240831,0,0,0,0,0,0,0
7_merged_1912810,20240901,20241228,0,0,0,0,0,0,0
14602_merged_1912801,20240623,20240831,0,0,0,0,0,0,0
2103_merged_1912806,20240623,20240831,0,0,0,0,0,0,0
21902,20240901,20241228,0,0,0,0,0,0,0
14702_merged_1912818,20240901,20241228,0,0,0,0,0,0,0
1401_merged_1912794,20240623,20240831,0,0,0,0,0,0,0
8207,20240901,20241228,0,0,0,0,0,0,0
6,20240901,20241228,0,0,0,0,0,0,0
2103_merged_1912825,20240901,20241228,0,0,0,0,0,0,0
8202,20240901,20241228,0,0,0,0,0,0,0
8203,20240901,20241228,0,0,0,0,0,0,0
14602_merged_1912820,20240901,20241228,0,0,0,0,0,0,0
4505,20240901,20241228,0,0,0,0,0,0,0
14706,20240901,20241228,0,0,0,0,0,0,0
703_merged_1912807,20240901,20241228,0,0,0,0,0,0,0
19902,20240623,20240831,0,0,0,0,0,0,0
19903,20240623,20240831,0,0,0,0,0,0,0
1402_merged_1912812,20240901,20241228,0,0,0,0,0,0,0
14605,20240901,20241228,0,0,0,0,0,0,0
14603,20240901,20241228,0,0,0,0,0,0,0
3403_merged_1912815,20240901,20241228,0,0,0,0,0,0,0
703_merged_1912788,20240623,20240831,0,0,0,0,0,0,0
1601,20240901,20241228,0,0,0,0,0,0,0
2_merged_1912809,20240901,20241228,0,0,0,0,0,1,0
2_merged_1912790,20240623,20240831,0,0,0,0,0,1,0
8701_merged_1912823,20240901,20241228,0,0,0,0,0,0,0
14701_merged_1912819,20240901,20241228,0,0,0,0,0,0,0
1401_merged_1912813,20240901,20241228,0,0,0,0,0,0,0
3403_merged_1912796,20240623,20240831,0,0,0,0,0,0,0
8701_merged_1912804,20240623,20240831,0,0,0,0,0,0,0
