stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.291883,0,2760,-79.791904,,,,BEACH BV & DIEPPE MEMORIAL OPP,BEACH opposite DIEPPE MEMORIAL,0,355457,
43.206398,0,2135,-79.86941,,,,UP/WENTWORTH ST & STONE CHURCH RD,UPPER WENTWORTH at STONE CHURCH,0,3064,
43.273618,0,1698,-79.8616,,,,JAMES ST N & GUISE ST E,JAMES at GUISE,0,355458,
43.225539,0,2302,-79.904185,,,,GARTH ST & #1120 OPP (N OF LINC),GARTH at LINC NORTH,0,1511,
43.224366,0,1002,-79.776155,,,,NASH RD S & DENTEN ST OPP (#149),NASH opposite DENTEN,0,2318,
43.233441,0,1005,-79.772418,,,,NASH RD N & KENTLEY DR,NASH at KENTLEY,0,2319,
43.22473,0,2991,-79.776203,,,,NASH RD S & DENTEN ST,NASH at DENTEN,0,2317,
43.238488,0,1008,-79.770411,,,,NASH RD N & BARTON ST,NASH at BARTON,0,2315,
43.232704,0,2335,-79.907771,,,,MOHAWK RD W & BUCKINGHAM DR (EAST LEG),MOHAWK at BUCKINGHAM EAST,0,2268,
43.233554,0,2337,-79.914979,,,,MOHAWK RD W & BUCKINGHAM DR (WEST LEG),MOHAWK at BUCKINGHAM WEST,0,2269,
43.233736,0,2339,-79.920717,,,,MOHAWK RD W & #760 E MAGNOLIA DR,At 760 MOHAWK,0,2262,
43.233547,0,2354,-79.920624,,,,MOHAWK RD W & #770 OPP,Opposite 770 MOHAWK,0,2263,
43.230739,0,2361,-79.891251,,,,MOHAWK RD W & #261 E SOUTHLEA DR,At 261 MOHAWK,0,2260,
43.230824,0,2332,-79.891612,,,,MOHAWK RD W & #263 E SOUTHLEA DR OPP,At 263 MOHAWK,0,2261,
43.232279,0,2358,-79.906651,,,,MOHAWK RD W & ASHTON RD,MOHAWK at ASHTON,0,2266,
43.233375,0,2356,-79.914705,,,,MOHAWK RD W & BUCKINGHAM DR OPP (#704),MOHAWK opposite BUCKINGHAM,0,2267,
43.233585,0,2341,-79.926788,,,,MOHAWK RD W & #924 E OF SCENIC,At 924 MOHAWK,0,2264,
43.229389,0,1499,-79.883606,,,,MOHAWK RD W & AMANDA ST OPP (#30),MOHAWK opposite AMANDA,0,2265,
43.255192,0,1319,-79.960079,,,,PLEASANT AV & SUNRISE CR,PLEASANT at SUNRISE,0,2442,
43.253496,0,1320,-79.965914,,,,PLEASANT AV & EDENBRIDGE CT,PLEASANT at EDENBRIDGE,0,2440,
43.252159,0,1320,-79.967817,,,,PLEASANT AV & GREEN MEADOW WAY,PLEASANT at GREEN MEADOW,0,2441,
43.248894,0,2845,-79.883066,,,,QUEEN ST S & ABERDEEN AV,QUEEN at ABERDEEN,0,2446,
43.248557,0,2834,-79.883044,,,,QUEEN ST S & ABERDEEN AV,QUEEN at ABERDEEN,0,2447,
43.235298,0,1112,-79.818501,,,,PROVINCE ST S & JUSTINE AV,PROVINCE at JUSTINE,0,2445,
43.252202,0,2843,-79.881726,,,,QUEEN ST S & CHARLTON AV W,QUEEN at CHARLTON,0,2449,
43.260592,0,2956,-79.901716,,,,LONGWOOD RD S & MARION AV OPP (#86),LONGWOOD opposite MARION,0,2046,
43.266135,0,1343,-79.895085,,,,MACKLIN ST N & #100 OPP - GEORGE P VANIER E,At 100 MACKLIN,0,2047,
43.258715,0,2955,-79.902133,,,,LONGWOOD RD S & MAIN ST,LONGWOOD at MAIN,0,2044,
43.260022,0,2935,-79.902086,,,,LONGWOOD RD S & MARION AV S,LONGWOOD at MARION,0,2045,
43.262872,0,2957,-79.900723,,,,LONGWOOD RD S & KING ST,LONGWOOD at KING,0,2042,
43.262682,0,2899,-79.900972,,,,LONGWOOD RD S & KING ST W,LONGWOOD at KING,0,2041,
43.268746,0,1343,-79.893953,,,,MACKLIN ST N & KAY DRAGE PARK ENT,MACKLIN at KAY DRAGE PARK,0,2049,
43.234717,0,2311,-79.878811,,,,UP/JAMES ST & WEMBLEY RD OPP (#672),UPPER JAMES opposite WEMBLEY,0,2839,
43.234833,0,2272,-79.879115,,,,UP/JAMES ST & WEMBLEY RD,UPPER JAMES at WEMBLEY,0,2838,
43.211215,0,9216,-79.889273,,,,UP/JAMES ST & STONE CHURCH RD E,UPPER JAMES at STONE CHURCH,0,2835,
43.210848,0,2298,-79.889199,,,,UP/JAMES ST & STONE CHURCH RD E,UPPER JAMES at STONE CHURCH,0,2834,
43.247482,0,1292,-79.817051,,,,CANNON ST E & OTTAWA ST N,CANNON at OTTAWA,0,355830,
43.194145,0,2120,-79.81947,,,,STONE CHURCH RD E & PRITCHARD RD,STONE CHURCH at PRITCHARD,0,2688,
43.194336,0,2172,-79.819604,,,,STONE CHURCH RD E & PRITCHARD RD,STONE CHURCH at PRITCHARD,0,2689,
43.194821,0,2120,-79.822346,,,,STONE CHURCH RD E & #1520 HAMILTON MT BOWL OPP,At 1520 STONE CHURCH,0,2684,
43.197946,0,2803,-79.835531,,,,STONE CHURCH RD E & NEBO RD,STONE CHURCH at NEBO,0,2685,
43.197828,0,2152,-79.834589,,,,STONE CHURCH RD E & NEBO RD,STONE CHURCH opposite NEBO,0,2686,
43.202593,0,2190,-79.855375,,,,STONE CHURCH RD E & NORMA JEAN AV,STONE CHURCH at NORMAJEAN,0,2687,
43.207415,0,2394,-79.87438,,,,STONE CHURCH RD E & BRIGADE DR OPP,STONE CHURCH opposite BRIGADE,0,2680,
43.196518,0,2119,-79.829384,,,,STONE CHURCH RD E & DARTNALL RD,STONE CHURCH at DARTNAL,0,2681,
43.196616,0,2152,-79.829532,,,,STONE CHURCH RD E & DARTNALL RD,STONE CHURCH opposite DARTNALL,0,2682,
43.209921,0,2395,-79.884984,,,,STONE CHURCH RD E & DICENZO DR,STONE CHURCH at DICENZO,0,2683,
43.227416,0,2150,-79.837083,,,,FENNELL AV E & EAST 43RD ST,FENNELL at EAST 43RD,0,1437,
43.228702,0,2057,-79.841959,,,,FENNELL AV E & EAST 37TH ST,FENNELL at EAST 37TH,0,1435,
43.315785,0,2693,-79.801106,,,,LAKESHORE RD & JOSEPH BRANT HOSPITAL OPP,LAKESHORE opposite JOSEPH BRANT HOSPITAL,0,1991,
43.284911,0,1334,-79.892655,,,,YORK BV & GUELPH RD,YORK at OLD GUELPH,0,3206,
43.217995,0,2583,-79.734962,,,,GREEN RD & KING ST,GREEN at KING,0,1621,
43.265474,0,2978,-79.881375,,,,YORK BV & LOCKE ST N,YORK at LOCKE,0,3204,
43.213119,0,2448,-79.793879,,,,GREENHILL AV & COUNTRY CLUB DR,GREENHILL at COUNTRY CLUB,0,1627,
