trip_headsign,shape_id,wheelchair_accessible,service_id,route_id,block_id,direction_id,trip_id,trip_short_name,wheelchair_boarding,bikes_allowed
EASTGATE SQUARE TERMINAL,31900,0,2201,5253,a_475266,1,1904984,,1,1
EASTGATE SQUARE TERMINAL,31900,0,2201,5253,a_475265,1,1904985,,1,1
EASTGATE SQUARE TERMINAL,31900,0,2201,5253,a_475270,1,1904986,,1,1
EASTGATE SQUARE TERMINAL,31900,0,2201,5253,a_475269,1,1904987,,1,1
EASTGATE SQUARE TERMINAL,31900,0,2201,5253,a_475270,1,1904980,,1,1
EASTGATE SQUARE TERMINAL,31900,0,2201,5253,a_475269,1,1904981,,1,1
EASTGATE SQUARE TERMINAL,31900,0,2201,5253,a_475268,1,1904982,,1,1
EASTGATE SQUARE TERMINAL,31900,0,2201,5253,a_475267,1,1904983,,1,1
EASTGATE SQUARE TERMINAL,31900,0,2201,5253,a_475268,1,1904988,,1,1
EASTGATE SQUARE TERMINAL,31900,0,2201,5253,a_475267,1,1904989,,1,1
TIM HORTONS FIELD,31915,0,1402_merged_1912812,5256,b_475886,0,1912440,,1,1
UPPER GAGE at RYMAL,31771,0,5,5233,b_474862,0,1897949,,1,1
UPPER GAGE at RYMAL,31771,0,5,5233,b_474863,0,1897948,,1,1
UPPER GAGE at RYMAL,31771,0,5,5233,b_474861,0,1897947,,1,1
UPPER GAGE at RYMAL,31771,0,5,5233,b_474864,0,1897946,,1,1
MEADOWLANDS,31803,0,6,5240,b_475552,0,1907189,,1,1
MEADOWLANDS,31804,0,6,5240,b_475551,0,1907188,,1,1
MEADOWLANDS,31803,0,6,5240,b_475551,0,1907181,,1,1
MEADOWLANDS,31804,0,6,5240,b_475555,0,1907180,,1,1
MEADOWLANDS,31803,0,6,5240,b_475556,0,1907183,,1,1
MEADOWLANDS,31804,0,6,5240,b_475552,0,1907182,,1,1
MEADOWLANDS,31803,0,6,5240,b_475554,0,1907185,,1,1
MEADOWLANDS,31804,0,6,5240,b_475553,0,1907184,,1,1
MEADOWLANDS,31803,0,6,5240,b_475555,0,1907187,,1,1
MEADOWLANDS,31804,0,6,5240,b_475550,0,1907186,,1,1
ALDERSHOT GO STATION,31753,0,1_merged_1912824,5228,b_475387,0,1906099,,1,1
EASTGATE SQUARE,31679,0,7_merged_1912810,5215,b_475663,0,1909059,,1,1
